,MW,TPSA,XLogP,NHD,NHA,NRB
349,303.4,49.8,2.6,1,4,5
350,161.2,43.3,1.1,1,2,2
351,189.26,36.4,1.8,2,1,2
352,148.2,24.9,0.2,1,2,1
353,327.4,70.0,2.1,2,5,2
354,790.0,200.0,3.7,4,15,10
355,258.05,66.4,2.5,2,4,1
356,335.3,64.4,1.3,0,6,5
357,226.27,75.3,2.2,2,3,5
358,129.09,67.5,-0.9,2,3,0
359,130.08,58.2,-0.9,2,3,0
360,262.26,84.5,0.3,2,4,4
361,339.33,162.0,-0.5,2,8,6
362,322.36,204.0,-5.4,8,10,3
363,224.26,75.3,1.7,2,3,3
364,254.33,75.3,3.0,2,3,7
365,268.35,75.3,3.5,2,3,8
366,608.5,234.0,-0.8,8,15,7
367,220.22,99.3,-1.2,4,4,3
368,552.6,297.0,-6.8,11,15,10
369,482.0,82.6,5.2,0,6,7
370,268.27,112.0,-2.1,4,6,2
371,405.5,193.0,-4.4,6,10,6
372,331.8,21.7,3.6,0,3,6
373,230.09,36.4,1.9,2,1,2
374,206.22,23.6,0.9,0,3,1
375,811.9,217.0,3.8,4,16,10
376,569.6,298.0,-6.9,12,16,9
377,196.25,49.4,0.0,1,2,1
378,423.5,62.2,3.0,2,5,4
379,464.9,97.3,2.9,0,7,2
380,374.5,94.8,1.9,3,5,2
381,267.32,43.7,2.3,2,3,0
382,167.19,111.0,-0.1,3,2,0
383,472.6,107.0,3.8,1,7,7
384,410.5,94.8,1.9,3,7,2
385,444.4,182.0,-0.7,6,9,2
386,493.5,217.0,-3.4,6,9,8
387,455.5,227.0,-1.4,3,12,8
388,399.4,83.1,1.0,1,6,5
389,539.6,284.0,-7.0,11,16,6
390,294.3,52.6,2.0,2,3,3
391,329.74,87.3,2.7,1,4,1
392,125.17,40.7,-0.2,2,2,3
393,349.4,138.0,-1.1,3,6,4
394,299.4,32.7,2.9,1,3,2
395,394.5,74.6,2.3,2,6,2
396,303.35,73.2,-1.1,3,5,0
397,426.5,82.2,1.7,1,7,4
398,462.5,201.0,-0.9,3,10,7
399,471.5,239.0,-0.6,2,12,9
400,347.5,57.2,3.6,1,3,3
401,861.1,170.0,3.8,3,14,7
402,289.8,23.5,3.7,1,2,5
403,233.3,132.0,1.1,3,4,2
404,554.6,288.0,-1.3,4,13,8
405,488.6,116.0,4.2,1,8,9
406,519.6,279.0,-4.0,4,14,11
407,594.7,216.0,0.7,2,11,9
408,290.4,41.6,2.2,1,3,7
409,453.5,238.0,-0.7,4,12,8
410,336.33,132.0,1.6,2,6,2
411,152.11,109.0,-1.5,3,4,0
412,437.5,207.0,1.0,3,9,7
413,500.6,106.0,4.0,1,9,6
414,517.0,106.0,4.2,1,8,6
415,466.9,99.1,3.9,1,7,7
416,513.6,280.0,-0.2,3,14,8
417,751.9,194.0,2.8,5,15,7
418,749.0,180.0,4.0,5,14,7
419,328.5,41.0,4.7,0,4,5
420,343.4,80.3,3.1,0,6,2
421,466.4,291.0,-1.4,5,14,10
422,239.23,126.0,-2.1,4,5,4
423,378.4,94.8,1.5,3,6,2
424,321.5,20.2,3.9,1,2,4
425,236.23,88.7,-1.2,2,5,2
426,497.5,177.0,1.9,5,10,3
427,444.5,99.9,3.2,2,8,3
428,389.4,158.0,-1.4,4,7,5
429,290.4,40.5,3.5,2,3,0
430,319.4,92.7,1.9,0,5,3
431,168.19,28.7,3.2,1,1,0
432,303.2,24.9,3.4,1,2,4
433,565.6,141.0,5.3,3,8,9
434,350.4,77.0,4.0,0,5,3
435,813.4,165.0,9.0,2,10,15
436,456.5,99.0,3.4,1,10,7
437,6094.0,2590.0,-37.7,44,152,116
438,326.5,48.8,4.2,0,4,5
439,411.6,72.3,2.6,1,6,7
